Algorithm,Metric,Mean,Std,Min,Max,Median,N_Runs
NSGA-II,hypervolume,1.987046460480442,0.20186618553074984,1.4720358919459056,2.3698224062030557,1.9911876344440886,30
MOPSO,hypervolume,2.4319869591815286,0.0183405607892273,2.399335541888799,2.4715981991043687,2.431631631009086,30
Weighted Sum,hypervolume,2.4071556220039056,0.03419592325492353,2.3129531334408386,2.45480130153748,2.416450625132073,30
NSGA-II,spacing,0.03559865544472333,0.011651687334909209,0.019778059081166706,0.062493261949330345,0.03125512999862491,30
MOPSO,spacing,0.020322339901863176,0.002051096007118026,0.016615444398613618,0.025928829397602667,0.020088017892928592,30
Weighted Sum,spacing,0.08955710652623904,0.03183806125909422,0.029284987568079776,0.17985375243538862,0.08371244684241988,30
NSGA-II,spread,0.5899922984257773,0.05811927918276382,0.4498919830972186,0.6900804424396051,0.5958964562318203,30
MOPSO,spread,0.712317964585678,0.008669318747628774,0.695759174700261,0.7279603142621903,0.7135121080793791,30
Weighted Sum,spread,0.7337106619665839,0.07102659886928389,0.6511898400141781,0.9660923242517181,0.7043627454255024,30
NSGA-II,n_solutions,53.8,11.810729585141358,31.0,75.0,51.0,30
MOPSO,n_solutions,100.0,0.0,100.0,100.0,100.0,30
Weighted Sum,n_solutions,51.0,0.0,51.0,51.0,51.0,30
