id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,34,7,2,87320.0,0.8777463074318725,0.01909897612174589
1,82,5,2,88280.0,0.9742668788988026,0.020908779975027044
2,25,8,1,90220.0,0.8629244450983725,0.018119350687011933
3,34,7,4,93160.0,0.8791845871682692,0.020229734643146903
4,82,5,4,94120.0,0.9749702791698904,0.02209536272043542
5,40,7,4,95680.0,0.9000787276387545,0.020344539091875863
6,78,7,0,99960.0,0.9850267181396165,0.01904633199209425
7,165,3,1,101020.0,0.9935112751952855,0.022652900795197564
8,114,5,2,101720.0,0.9993223610289933,0.021404155969794735
9,82,7,2,107480.0,0.9955541416696281,0.020071590896435648
10,82,7,4,113320.0,0.9976879627582802,0.021015071988154773
11,125,5,5,115100.0,1.0,0.023047643629243775
12,102,7,2,115880.0,1.0,0.020387899992878857
13,128,7,0,120960.0,0.9998779495323284,0.019928531741140953
14,23,11,4,126940.0,0.9072214511823792,0.018923032117057634
15,144,7,0,127680.0,1.0,0.020157876324769515
16,25,11,4,127780.0,0.9133833226599963,0.018957440339422874
17,91,10,2,140060.0,1.0,0.019439221297668834
18,122,10,0,147240.0,1.0,0.019195866680438184
19,9,14,4,149860.0,0.8980194459849564,0.01828303265755154
20,15,14,4,152380.0,0.9142275739273833,0.018376222279220845
21,15,14,5,155300.0,0.9148538956409658,0.01869370355715942
22,23,14,4,155740.0,0.9354536271453737,0.01849650931881071
23,78,13,0,157560.0,0.9978372320237073,0.01819248593455814
24,82,14,2,174680.0,1.0,0.01871471451207143
25,25,18,0,183300.0,0.9551702587783684,0.017186641973024486
26,34,18,0,187080.0,0.9709687470275944,0.01730990913627942
27,40,18,0,189600.0,0.9795363058852385,0.017389941190474722
28,68,18,0,201360.0,0.9976628508876996,0.01774234403556348
29,34,20,0,206280.0,0.9771074861335622,0.017263803104628984
30,40,20,0,208800.0,0.9840573970168723,0.017336773569264125
31,75,18,2,210140.0,1.0,0.018274092685618783
32,40,23,0,237600.0,0.9883256393149282,0.017273399996371598
33,128,20,0,245760.0,1.0,0.01826762405896822
34,40,25,1,259720.0,0.9945753297325343,0.01741395467258366
35,40,26,1,269320.0,0.9952909936402293,0.01739232525330326
36,144,23,0,281280.0,1.0,0.018241678710928813
37,34,26,6,281400.0,0.9981905201407176,0.018184139271495335
38,91,25,2,284060.0,1.0,0.018040633999175836
39,78,27,0,291960.0,0.999908759593913,0.017545091921186005
40,79,29,1,314500.0,1.0,0.01765279556415655
