id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,0,31,0,297600.0,0.9605970204654617,0.01682244777520286
1,0,8,0,76800.0,0.768732989144389,0.016822447775202868
2,5,33,0,318900.0,0.9720736476338816,0.01686382555399071
3,80,29,0,312000.0,1.0,0.017515276295888015
4,22,7,0,76440.0,0.8290982847461701,0.017602539568197753
5,136,4,3,104280.0,1.0,0.02278283867152316
6,132,4,2,99680.0,0.9988577287723316,0.022202691992719216
7,3,8,1,80980.0,0.7821535651052252,0.017492559231551626
8,0,22,0,211200.0,0.9249528503046687,0.016822447775202868
9,17,10,1,106060.0,0.8683895354410012,0.017699376017061445
10,116,4,1,90040.0,0.9911942638992303,0.02143158434265675
11,56,14,0,157920.0,0.9879191647074893,0.01779003061732164
12,69,6,1,89500.0,0.963279079246956,0.01965093632053717
13,131,4,1,96340.0,0.9973536373382067,0.02164418951942946
14,4,9,0,88080.0,0.8028750341336367,0.01694264267319427
15,12,19,0,187440.0,0.9339661125843837,0.016992196852827837
16,113,4,0,85860.0,0.9857263460966146,0.02079582730608439
17,90,8,2,120440.0,0.999975639545093,0.019896747787200124
18,93,13,0,163860.0,0.9997026892112867,0.01840479560322092
19,0,21,0,201600.0,0.9192389998044176,0.016822447775202864
20,145,4,1,102220.0,0.9995082914708056,0.021820803227074973
21,117,4,2,93380.0,0.9932395068358856,0.0220265238188466
22,2,9,0,87240.0,0.7957706040132866,0.016882991721979247
23,19,18,0,180780.0,0.9433616652637552,0.017102236371187043
24,126,10,0,148920.0,1.0,0.01925049775315886
25,34,19,0,196680.0,0.9741816685475194,0.017285711779392997
26,6,25,0,242520.0,0.9495686168221769,0.01688779639678552
27,14,8,0,82680.0,0.8201980067723864,0.017276061559897263
28,1,8,0,77220.0,0.772492644111267,0.016856614802926072
29,79,22,1,247300.0,1.0,0.017888489142833554
30,51,6,0,79020.0,0.910141945783819,0.018636274876257096
31,97,8,2,123380.0,1.0,0.02000294396090964
32,0,23,0,220800.0,0.9301787937319094,0.016822447775202864
33,34,21,0,215880.0,0.979643092262138,0.01724387306572283
34,8,26,0,252960.0,0.9567680536645454,0.01690603899143041
35,0,9,0,86400.0,0.7886369201447655,0.016822447775202868
36,5,16,0,155700.0,0.8962173769685509,0.016907331499212565
37,12,23,0,225840.0,0.9522930758705505,0.01696318512300183
38,6,17,0,165720.0,0.9066207126499769,0.01691818739447795
39,126,6,0,110520.0,0.9994514896758618,0.020198575733658373
40,52,11,0,127440.0,0.970518920540401,0.01794179009691221
41,18,9,0,93960.0,0.8519890591653105,0.01733677356926413
42,104,9,1,133000.0,1.0,0.019473942440990336
43,40,7,0,84000.0,0.8924918240873946,0.018137776307764513
44,61,8,0,102420.0,0.9664327388757232,0.018487713220896634
45,83,6,0,92460.0,0.9826187941514561,0.019412621921705425
46,69,25,0,268980.0,0.999576455260799,0.017515593244724754
47,6,11,0,108120.0,0.8426020901327036,0.016969466862649468
48,34,23,0,235080.0,0.9835613002219155,0.01720896552822605
49,142,4,0,98040.0,0.9973283370406666,0.021260230717800945
50,20,17,1,174520.0,0.9434731876616202,0.01739363016803973
51,61,6,0,83220.0,0.9405408700134947,0.018901203356143353
52,135,4,0,95100.0,0.9954671163543296,0.02115785200485289
53,0,29,0,278400.0,0.9541002391303898,0.016822447775202864
54,125,5,0,100500.0,0.9979150235000795,0.020547676341079145
55,91,8,0,115020.0,0.9968237973938011,0.019079828727257418
56,6,9,0,88920.0,0.8099794642539866,0.01700142024112683
57,109,10,0,141780.0,0.9999247849037143,0.019010879152967508
58,49,8,0,97380.0,0.9359795117566532,0.018216146899603467
59,9,10,0,99780.0,0.8376876165533583,0.017062217536805518
60,10,13,0,129000.0,0.8811142589177557,0.017028259066788915
61,3,12,0,116460.0,0.8469102822446302,0.016890496518773255
