id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,source_algorithm,w_cost,w_reliability,w_impact
0,54,7,0,89880.0,0.9365212929208423,0.01850319102513049,NSGA-II,,,
1,132,5,0,103440.0,0.9987639859219105,0.02065809796007656,NSGA-II,,,
2,127,5,3,110100.0,1.0,0.022068886987799664,NSGA-II,,,
3,109,6,3,112140.0,1.0,0.021344458415382236,NSGA-II,,,
4,95,7,3,115860.0,1.0,0.02073343321858119,NSGA-II,,,
5,119,7,0,117180.0,0.9995447164606271,0.019789657057505714,NSGA-II,,,
6,115,7,1,118420.0,1.0,0.02014896640844662,NSGA-II,,,
7,58,10,0,120360.0,0.9755846805612521,0.01815428169322241,NSGA-II,,,
8,54,11,0,128280.0,0.974289314299862,0.01797873304841338,NSGA-II,,,
9,78,10,2,134600.0,0.9993689377275675,0.019247375624398867,NSGA-II,,,
10,54,14,0,157080.0,0.9859594486369003,0.0177594474857353,NSGA-II,,,
11,90,13,0,162600.0,0.9994252893290999,0.018363404255135465,NSGA-II,,,
12,54,16,0,176280.0,0.9896039421081071,0.01765427827251847,NSGA-II,,,
13,128,13,0,178560.0,1.0,0.018851990350275787,NSGA-II,,,
14,91,15,1,185140.0,1.0,0.018460044024062153,NSGA-II,,,
15,10,20,0,196200.0,0.935244085902314,0.016957418191444255,NSGA-II,,,
16,119,16,0,203580.0,1.0,0.01845496750806962,NSGA-II,,,
17,0,22,0,211200.0,0.9249528503046687,0.016822447775202868,NSGA-II,,,
18,13,22,0,216660.0,0.9501357738334881,0.016981479359422725,NSGA-II,,,
19,91,22,0,249420.0,1.0,0.01781898262011666,NSGA-II,,,
20,4,26,0,251280.0,0.9499633950838638,0.016864458853417395,NSGA-II,,,
21,7,26,1,255460.0,0.9598331229518076,0.017071213159325725,NSGA-II,,,
22,47,27,3,287700.0,1.0,0.017757136962230628,NSGA-II,,,
23,58,28,0,293160.0,0.9987993725039876,0.017353944302313202,NSGA-II,,,
24,7,30,1,293860.0,0.972193851877251,0.01703830309588969,NSGA-II,,,
25,54,28,2,297320.0,0.9999441184207173,0.017628399521864555,NSGA-II,,,
26,54,29,0,301080.0,0.99831670098348,0.01730339626914798,NSGA-II,,,
27,68,29,1,309880.0,1.0,0.01756613335712217,NSGA-II,,,
28,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,MOPSO,,,
29,0,8,0,76800.0,0.768732989144389,0.016822447775202868,MOPSO,,,
30,5,33,0,318900.0,0.9720736476338816,0.01686382555399071,MOPSO,,,
31,80,29,0,312000.0,1.0,0.017515276295888015,MOPSO,,,
32,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,MOPSO,,,
33,136,4,3,104280.0,1.0,0.02278283867152316,MOPSO,,,
34,132,4,2,99680.0,0.9988577287723316,0.022202691992719216,MOPSO,,,
35,0,22,0,211200.0,0.9249528503046687,0.016822447775202868,MOPSO,,,
36,17,10,1,106060.0,0.8683895354410012,0.017699376017061445,MOPSO,,,
37,116,4,1,90040.0,0.9911942638992303,0.02143158434265675,MOPSO,,,
38,56,14,0,157920.0,0.9879191647074893,0.01779003061732164,MOPSO,,,
39,69,6,1,89500.0,0.963279079246956,0.01965093632053717,MOPSO,,,
40,131,4,1,96340.0,0.9973536373382067,0.02164418951942946,MOPSO,,,
41,4,9,0,88080.0,0.8028750341336367,0.01694264267319427,MOPSO,,,
42,12,19,0,187440.0,0.9339661125843837,0.016992196852827837,MOPSO,,,
43,113,4,0,85860.0,0.9857263460966146,0.02079582730608439,MOPSO,,,
44,90,8,2,120440.0,0.999975639545093,0.019896747787200124,MOPSO,,,
45,93,13,0,163860.0,0.9997026892112867,0.01840479560322092,MOPSO,,,
46,0,21,0,201600.0,0.9192389998044176,0.016822447775202864,MOPSO,,,
47,145,4,1,102220.0,0.9995082914708056,0.021820803227074973,MOPSO,,,
48,117,4,2,93380.0,0.9932395068358856,0.0220265238188466,MOPSO,,,
49,2,9,0,87240.0,0.7957706040132866,0.016882991721979247,MOPSO,,,
50,19,18,0,180780.0,0.9433616652637552,0.017102236371187043,MOPSO,,,
51,126,10,0,148920.0,1.0,0.01925049775315886,MOPSO,,,
52,34,19,0,196680.0,0.9741816685475194,0.017285711779392997,MOPSO,,,
53,6,25,0,242520.0,0.9495686168221769,0.01688779639678552,MOPSO,,,
54,14,8,0,82680.0,0.8201980067723864,0.017276061559897263,MOPSO,,,
55,1,8,0,77220.0,0.772492644111267,0.016856614802926072,MOPSO,,,
56,79,22,1,247300.0,1.0,0.017888489142833554,MOPSO,,,
57,51,6,0,79020.0,0.910141945783819,0.018636274876257096,MOPSO,,,
58,97,8,2,123380.0,1.0,0.02000294396090964,MOPSO,,,
59,0,23,0,220800.0,0.9301787937319094,0.016822447775202864,MOPSO,,,
60,34,21,0,215880.0,0.979643092262138,0.01724387306572283,MOPSO,,,
61,8,26,0,252960.0,0.9567680536645454,0.01690603899143041,MOPSO,,,
62,0,9,0,86400.0,0.7886369201447655,0.016822447775202868,MOPSO,,,
63,5,16,0,155700.0,0.8962173769685509,0.016907331499212565,MOPSO,,,
64,12,23,0,225840.0,0.9522930758705505,0.01696318512300183,MOPSO,,,
65,6,17,0,165720.0,0.9066207126499769,0.01691818739447795,MOPSO,,,
66,126,6,0,110520.0,0.9994514896758618,0.020198575733658373,MOPSO,,,
67,52,11,0,127440.0,0.970518920540401,0.01794179009691221,MOPSO,,,
68,18,9,0,93960.0,0.8519890591653105,0.01733677356926413,MOPSO,,,
69,104,9,1,133000.0,1.0,0.019473942440990336,MOPSO,,,
70,40,7,0,84000.0,0.8924918240873946,0.018137776307764513,MOPSO,,,
71,61,8,0,102420.0,0.9664327388757232,0.018487713220896634,MOPSO,,,
72,83,6,0,92460.0,0.9826187941514561,0.019412621921705425,MOPSO,,,
73,69,25,0,268980.0,0.999576455260799,0.017515593244724754,MOPSO,,,
74,6,11,0,108120.0,0.8426020901327036,0.016969466862649468,MOPSO,,,
75,34,23,0,235080.0,0.9835613002219155,0.01720896552822605,MOPSO,,,
76,142,4,0,98040.0,0.9973283370406666,0.021260230717800945,MOPSO,,,
77,20,17,1,174520.0,0.9434731876616202,0.01739363016803973,MOPSO,,,
78,61,6,0,83220.0,0.9405408700134947,0.018901203356143353,MOPSO,,,
79,135,4,0,95100.0,0.9954671163543296,0.02115785200485289,MOPSO,,,
80,0,29,0,278400.0,0.9541002391303898,0.016822447775202864,MOPSO,,,
81,125,5,0,100500.0,0.9979150235000795,0.020547676341079145,MOPSO,,,
82,91,8,0,115020.0,0.9968237973938011,0.019079828727257418,MOPSO,,,
83,6,9,0,88920.0,0.8099794642539866,0.01700142024112683,MOPSO,,,
84,109,10,0,141780.0,0.9999247849037143,0.019010879152967508,MOPSO,,,
85,49,8,0,97380.0,0.9359795117566532,0.018216146899603467,MOPSO,,,
86,9,10,0,99780.0,0.8376876165533583,0.017062217536805518,MOPSO,,,
87,10,13,0,129000.0,0.8811142589177557,0.017028259066788915,MOPSO,,,
88,3,12,0,116460.0,0.8469102822446302,0.016890496518773255,MOPSO,,,
89,0,30,1,290920.0,0.9624343586524372,0.01697595261115159,MOPSO,,,
90,16,11,0,112320.0,0.8751329803791187,0.01720305432154826,MOPSO,,,
91,57,11,0,129540.0,0.979114683451441,0.018033425127528254,MOPSO,,,
92,5,15,0,146100.0,0.8871938749352591,0.016912927582654676,MOPSO,,,
93,4,17,0,164880.0,0.9015794173805052,0.016886525126688635,MOPSO,,,
94,67,8,0,104940.0,0.9774542957023241,0.018615469962712593,MOPSO,,,
95,132,5,0,103440.0,0.9987639859219105,0.02065809796007656,MOPSO,,,
96,0,14,0,134400.0,0.8620797481404534,0.016822447775202868,MOPSO,,,
97,73,24,0,261060.0,0.9996890024903611,0.017579757114538117,MOPSO,,,
98,36,27,0,274320.0,0.9898891699313442,0.0171727003385167,MOPSO,,,
99,128,4,0,92160.0,0.9930436733915969,0.02104966464738252,MOPSO,,,
100,0,32,0,307200.0,0.9634125791484572,0.016822447775202868,MOPSO,,,
101,39,16,0,169980.0,0.9716961034966964,0.01744074589593441,MOPSO,,,
102,7,9,0,89340.0,0.8135179877034335,0.017030487478734476,MOPSO,,,
103,31,13,0,137820.0,0.9378999783075875,0.01742832852769294,MOPSO,,,
104,117,5,0,97140.0,0.9963144429761515,0.02041434891065011,MOPSO,,,
105,2,13,0,125640.0,0.8564850056084005,0.016864458853417395,MOPSO,,,
106,80,28,0,302400.0,0.9999906381339017,0.017537847924203674,MOPSO,,,
107,39,22,1,230500.0,0.9908878838262972,0.017479150711392055,MOPSO,,,
108,58,13,1,152080.0,0.9919746518611464,0.01819505061032771,MOPSO,,,
109,38,25,1,258880.0,0.9935105323169813,0.017394581497207844,MOPSO,,,
110,1,11,0,106020.0,0.8258884807672822,0.016847324969194357,MOPSO,,,
111,133,6,0,113460.0,0.9997314807716701,0.020305960199230203,MOPSO,,,
112,77,21,2,239780.0,1.0,0.01810863464763177,MOPSO,,,
113,0,30,0,288000.0,0.9575611555109892,0.016822447775202864,MOPSO,,,
114,0,15,0,144000.0,0.872827763519779,0.016822447775202864,MOPSO,,,
115,102,11,0,148440.0,0.9998703897680342,0.01876192363008352,MOPSO,,,
116,15,12,0,121500.0,0.8847679329234601,0.017151694006168706,MOPSO,,,
117,35,28,0,283500.0,0.9901792042542125,0.017151694006168706,MOPSO,,,
118,27,13,0,136140.0,0.9281395241037966,0.01735526192940543,MOPSO,,,
119,0,33,0,316800.0,0.9660600280913572,0.016822447775202868,MOPSO,,,
120,121,4,0,89220.0,0.9901069607614945,0.02093515986592983,MOPSO,,,
121,23,7,0,76860.0,0.832758630099665,0.017634464983733243,MOPSO,,,
122,53,16,0,175860.0,0.9888201077594402,0.017640420227641097,MOPSO,,,
123,29,11,0,117780.0,0.9147483659452572,0.017487075651889693,MOPSO,,,
124,97,17,0,203940.0,1.0,0.01813615382978758,MOPSO,,,
125,0,20,0,192000.0,0.9131726528656697,0.016822447775202864,MOPSO,,,
126,5,8,0,78900.0,0.7874933549172779,0.01699046509042379,Weighted-Sum,1.0,0.0,0.0
