id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,w_cost,w_reliability,w_impact
0,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,1.0,0.0,0.0
1,98,25,8,304520.0,1.0,0.019074699641947752,0.0,1.0,0.0
2,1,33,0,317220.0,0.9673688627085258,0.016830757084133383,0.0,0.0,1.0
3,78,6,0,90360.0,0.9763460199515804,0.019304105012740727,0.52,0.33,0.15
4,91,6,0,95820.0,0.9895856871948376,0.01957786212728044,0.28,0.48,0.24
5,91,8,0,115020.0,0.9968237973938011,0.019079828727257418,0.12,0.67,0.21
6,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.4,0.12,0.48
7,90,7,0,105000.0,0.9939357455179192,0.019285075277137315,0.19,0.52,0.29
8,85,6,0,93300.0,0.9846988812526618,0.019454873942504936,0.33,0.38,0.29
9,112,5,0,95040.0,0.9946510953869674,0.020326859848674248,0.26,0.61,0.13
10,65,10,0,123300.0,0.9857291834814196,0.018286149051447615,0.14,0.29,0.57
11,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,0.36,0.23,0.41
12,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.47,0.11,0.42
13,102,7,0,110040.0,0.9980269061107191,0.019505324365592738,0.09,0.74,0.17
14,84,5,0,83280.0,0.9721947253444672,0.01976736393002673,0.41,0.32,0.27
15,101,5,0,90420.0,0.9888362211223317,0.02012203787515584,0.38,0.48,0.14
16,1,8,0,77220.0,0.772492644111267,0.016856614802926072,0.22,0.13,0.65
17,81,5,0,82020.0,0.967730820835017,0.019699318597053428,0.55,0.26,0.19
18,106,5,0,92520.0,0.9919805180904332,0.020217334189283186,0.31,0.54,0.15
19,111,4,0,85020.0,0.9843812018730513,0.020759478055330044,0.44,0.36,0.2
20,81,8,0,110820.0,0.9924028012549493,0.01889485047379316,0.18,0.44,0.38
21,81,5,0,82020.0,0.967730820835017,0.019699318597053428,0.61,0.29,0.1
22,59,7,0,91980.0,0.9501975456429907,0.018624403062970533,0.25,0.18,0.57
23,85,8,0,112500.0,0.9946655017195399,0.018970218329686806,0.13,0.53,0.34
24,86,6,0,93720.0,0.9856748950583152,0.0194757600026642,0.29,0.4,0.31
25,64,6,0,84480.0,0.9485451796374382,0.01897641468195866,0.36,0.19,0.45
26,107,5,0,92940.0,0.9924927556463694,0.020235945774098273,0.24,0.63,0.13
27,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.3,0.15,0.55
28,110,4,0,84600.0,0.983617352098535,0.020741065077608728,0.48,0.39,0.13
29,76,8,0,108720.0,0.9885515477186314,0.018797936122070667,0.2,0.35,0.45
30,66,6,0,85320.0,0.9535465396448952,0.01902552863538903,0.42,0.21,0.37
31,105,5,0,92100.0,0.9914173907446329,0.020198575733658377,0.34,0.5,0.16
32,71,7,0,97020.0,0.9756637186448771,0.018897574765159957,0.27,0.24,0.49
33,54,6,0,80280.0,0.9197250773748811,0.01871815013786265,0.58,0.19,0.23
34,97,7,0,107940.0,0.9967706623656306,0.019415661375332256,0.15,0.62,0.23
35,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.46,0.12,0.42
36,87,7,0,103740.0,0.9922917345744398,0.019227211502063586,0.21,0.47,0.32
37,93,5,0,87060.0,0.9823872332440255,0.01996135407081545,0.39,0.41,0.2
38,61,11,0,131220.0,0.9847680203330211,0.018105030828004513,0.12,0.25,0.63
39,85,6,0,93300.0,0.9846988812526618,0.019454873942504936,0.31,0.37,0.32
40,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,0.52,0.14,0.34
41,94,6,0,97080.0,0.991477179413127,0.019637322459882922,0.26,0.49,0.25
42,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.35,0.28,0.37
43,93,7,0,106260.0,0.995308598245795,0.01934178492443065,0.17,0.56,0.27
44,61,8,0,102420.0,0.9664327388757232,0.018487713220896634,0.23,0.2,0.57
45,87,5,0,84540.0,0.9760181523098947,0.01983367519375419,0.4,0.34,0.26
46,108,5,0,93360.0,0.9929621815519615,0.020254412206282237,0.28,0.58,0.14
47,32,7,0,80640.0,0.8650129047120017,0.01790981261742715,0.37,0.16,0.47
48,82,8,0,111240.0,0.9930177923406328,0.018913869354004017,0.19,0.39,0.42
49,81,5,0,82020.0,0.967730820835017,0.019699318597053428,0.49,0.24,0.27
50,99,5,0,89580.0,0.9873579759297325,0.0200828409952412,0.32,0.45,0.23
